13,10,3,8,14,3,8,13,15,4,9,14,16,5,10,15
9,2,7,16,2,7,12,1,3,8,13,2,4,9,14,3
1,6,15,12,6,11,16,5,7,12,1,6,8,13,2,7
5,14,11,4,10,15,4,9,11,16,5,10,12,1,6,11
1,6,11,16,2,7,12,1,3,8,13,2,4,9,14,3
5,10,15,4,6,11,16,5,7,12,1,6,8,13,2,7
9,14,3,8,10,15,4,9,11,16,5,10,12,1,6,11
13,2,7,12,14,3,8,13,15,4,9,14,16,5,10,15
5,10,15,4,6,11,16,5,7,12,1,6,8,13,2,7
9,14,3,8,10,15,4,9,11,16,5,10,12,1,6,11
13,2,7,12,14,3,8,13,15,4,9,14,16,5,10,15
1,6,11,16,2,7,12,1,3,8,13,2,4,9,14,3
1,6,11,16,2,7,12,1,3,8,13,2,4,9,14,3
13,2,7,12,14,3,8,13,15,4,9,14,16,5,10,15
9,14,3,8,10,15,4,9,11,16,5,10,12,1,6,11
5,10,15,4,6,11,16,5,7,12,1,6,8,13,2,8   
